營企部-O,"以服務旅客和消費者為基礎下, 創造好的體驗和行銷商機, 支援前場創造業績",,,,,
商發部-O,以數據+會員關係為核心的行銷成長機制，使行銷能持續創造可衡量、可歸因的商業價值。,,,,,
Goal 具體目標  ,Strategy 策略,Measure 檢核,,,負責單位,註
,,Dashboard衡量指標,Q1-Plans 行動計畫,Q2-Plans 行動計畫,,
"G1:提高旅客／會員於非交易期間的互動參與頻次，並使其成為可再利用的會員行為資產。
發生非交易互動後 90 天內，至少60%活動達到轉換率(綁定率及交易率)目標。

《衡量指標》
1.線上活動
會員綁定率：1%
交易率：10%

2.實體活動
會員綁定率：55%
交易率：10%

3.異業導流
會員綁定率：20%
交易率：35%

4.社群活動
粉絲增長率：1%

(綁定率:完成綁定人數 ÷ 觸及人數）
(交易率:交易人數÷有活動標籤的新舊會員人數）","透過音樂、運動、親子大型展演活動的聚客力，觸及潛在出國客群提升進店前觸及機會點。


","
\\everrich.net\nas14\01商務發展部\01商務發展部\16品牌行銷\●行銷計畫\2026\2026 商發 數位行銷課-活動成效統計表 final.xlsx

1.大港開唱 (子硯-3/21~3/22)：
目標：觸及7,000人，綁定3,850人，交易700人。
成效：截至3/6
*抽門票3/3~10：觸及729人(10.4%)；綁定317人(8.2%)；交易14人(2%)。
*抽耳機3/18~24
*下單禮3/18~4/30
*互動禮3/21~22

2.美人圈音樂祭 (子硯-4/11~4/12)：
目標：觸及2,000人，綁定1,100人，交易200人。
成效：","【大港開唱】
2/9 EC活動專頁 需求單交付
2/11 2/24 上呈申議書
3/2 第一波線上活動 啟動(3/2-13)
3/11 第二波線上活動 啟動(3/11-20)
3/13 贈品大貨入庫
3/18 EC活動專頁 啟動(3/18-4/30)
3/21 線下攤位活動 啟動(3/21-22)

【美人圈音樂祭】
2/9 上呈申議書
3/2 3/6 EC活動專頁 需求單交付
3/31 贈品大貨入庫","【美人圈音樂祭】
4/8 EC活動專頁 啟動(4/8-5/13)
4/11 線下攤位活動 啟動",George team,
,,"1.林志傑引退賽 (雅琪-4/11~4/12)：
2.台新女子路跑 (雅琪-4/12)：取消不合作
3.中華職棒-樂天 (子硯-5月)：
4.富邦/台新職籃 (雅琪-5月)：","【台新女子路跑】
2/2提案
2/26待台新確認活動
3/6確認不合作

【林志傑引退賽】
2/23富邦提供贊助案
3/11回簽報價單
3/10提案
3/11提供設計文案單
3/13申議書
4/11-4/12攤位活動

【中華職棒-樂天】
3/23 提案
3/30 上呈申議書
6/20-21 線下攤位活動啟動",,George team,
,,"1.台灣燈會 (雅琪-3/3-3/15)：
目標：觸及8850人，綁定4867人，交易885人。
成效：截至3/12，已觸及3741人，達成率42.3%；綁定2331人，達成率47.9%，交易88人(180筆消費)，達成率9.9%。

2.未來親子野餐日 (子硯-4/3)：
目標：觸及1,880人，綁定1034人，交易188人。
成效：","【2026嘉義燈會】
2/2提案完成
2/6上申議書
2/11燈會主辦單位行前會
3/3進場
3/3-3/15活動攤位

【未來親子野餐日】
2/6 上呈申議書
2/11 2/23 EC活動專頁 需求單交付
3/10 提設計需求
3/16 贈品大貨入庫
3/25 EC活動專頁 啟動(3/25-4/24)
4/3 線下攤位活動 啟動",,George team,
,"透過銀行、壽險、旅遊等異業夥伴，拓展潛在出國客群與高價值族群，藉由資源互換會員互導提升品牌曝光。
","1.台新銀行Richart life (雅琪-3/20-6/30)：
目標：
成效：

2.台新銀行財富管理部 (雅琪-1/1~12/31)：
目標：導入1500名領航者。
成效：截至3/12，已導入592人，達成率39.4%。
1月：367人(333直升，34不直升)
2/1-2/28：189人(166直升，23不直升)
3/1-3/13：37人(33直升，4不直升)","【台新銀行Richart life】
3/10提案完成
2/263/13上申議書
3/93/20啟動

【台新銀行財富管理部】
1/1台新啟動
2/4提供宣傳物給台新審核(審核中)
2/253/63/13昇恆昌啟動(推播、上架APP)
",,George team,
,,"1.KKday (子硯-4/1~6/30)：
目標：
成效：

2.新安東京海上產險 (子硯-3/1~6/30)：
目標：
成效：

3.國泰人壽 (雅琪-2/1~12/31)：
總目標：觸及8000人，綁定1600人，交易2800人。
成效：截至3/12，已觸及407人，達成率5.1%；綁定110人，達成率6.8%；交易共203人，達成率9.6%。
四檔活動：
活動一：年節VIP 500元抵用券
活動二：櫃台滿額購物金200元
活動三：櫃台露出100元抵用券
活動四：Join享好康機場接送簡訊，100元抵用券



4.星城Online(雅琪1/9-2/24)
目標：目標招募1,000位新會員。
成效：截至2/24活動結束，已觸及1,282人，新會員數945人，達成率94.5%。
","【KKday】
2/24 3/20 提案完成
3/25 上呈申議書

【新安東京海上】
2/11 提案完成
3/3 3/10 上呈申議書
3/20 視覺設計完稿

【Trip.com】
3/23 提案完成
3/27 上呈申議書

【國泰人壽】
2/1購物金啟動(每月追蹤請款-12/31)

【星城Online】
1/9活動啟動+春節製作物上架
1/16LINE推播+隱藏官網上架
2/19IG限動上架
","【KKday】
5/1 導流活動 啟動(5/1-8/31)

【新安東京海上】
4/1 導流活動 啟動(4/1-6/30)

【Trip.com】
4/13 導流活動 啟動(4/13-5/31)",George team,
,"透過主題性線上活動，延長會員的活躍週期與品牌關係壽命。
","1.APP徽章任務/SKIN
  - 隱藏徽章任務 (子硯)：
   -SKIN活動 (9G 5/11~5/22)：

2.主題線上互動活動
   ◆會員互動活動：
     1、母親節線上互動活動 (雅琪-4/20~5/20)：
     2、暑期互動-小學課本的逆襲-心理測驗 (雅琪-7/1~8/31)：

   ◆未綁定活動目標綁定11,750名會員，綁定率2.1%，交易率10%
   成效：2月綁定2,084人，目標2,350人，達成率89%，綁定率0.8%，交易率32%
   ◆MGM新增3,000名新會員，交易率10%
   ◆點數換福袋交易率10%
   成效：共234組 兌換110組，兌換率47% (截至3/2)
                六六大順袋共168組 兌換69組 兌換率41%
                八八大發袋共66組 兌換41組 兌換率62%","【隱藏徽章任務】
1/27 提供案型給資訊以及採購單位評估可行性
2/24 採購討論,會再提供6檔活動(3/4提供資料供採購向廠商爭取資源)
3/18 依照現有功能完成提案

【SKIN活動】
2/27 初步討論
3/12 活動提案
3/20 設計製作物清單完成(文案陸續提供4/10前完成)
3/27 報價蒐集完成
3/31上呈申議書

【母親節線上互動活動】
3/11提案
3/17上申議書
4/20上線

【暑期活動心理測驗-小學生】
3/9方向討論
3/27方向定調

【未綁定活動】
2/2 Q1提案完成
2/6 上呈申議書
2/13 二月檔上線
3/14 三月檔上線

【點數換福袋活動】
2/2 提案完成
2/6上呈申議書
2/13 上線

【MGM活動】
3/10 提案完成
3/15 上呈申議書
3/30 三月檔上線","【SKIN活動】
3/16活動提案
3/31上呈申議書
4/24前置測試

【暑期活動心理測驗】
4/17 腳本提案
4/30 申議書上呈
5/29 整體風格定案

【未綁定活動】
4/1 Q2提案完成
4/7上呈申議書
4/15 四月檔上線
5/15 五月檔上線
6/15 六月檔上線

【MGM活動】
6/10提案完成
6/15上呈申議書
6/30 六月檔上線",George team,
,,"可可function目標達成表

1.促購活動 : 
      -3/27~3/29AB母親節預購會
       活動參與目標:350人 進店目標:125人 轉換率35.71%
      
      -6/18澎湖花火節:
       點擊人數
  
2.社群自發性增粉
      -曬機票活動
      -旅人桃機旅程

3.月月文化心體驗
目標 : 互動率1.64% (Q1+Q2 觸及32,100次、互動528次)


4.販促:
      -1/10~2/24 馬上RICH 吉運來
        目標 : 曝光470萬次、觸及312萬次、 CPC4元、CTR 1.2%
      -2/25~3/31 共購買好 島嶼創生
        目標 : 觸及2萬次、總導入連結點擊100次
      -4/1~5/11 CHIC  LADY MAMA
        目標 : 互動率2%↑
      -5/12~6/30 SummerREEL
        目標 : 互動率2%↑","1.促購活動 : 
   ◆3/27~3/29 AB母親節預購會-Chloe
     -2/13 2/24 宣傳規劃&目標final
     -3/11 線上宣傳開跑
     -4/15 完成結案報告

2.社群自發性增粉
    ◆旅人桃機旅程-寶寶
     -3/2 以母親節檔期主題操作 規劃 
     -3/23 線上宣傳開跑
     -5/22 完成第一次成效結案
     -5/25 以小學生逆襲檔期主題操作 規劃
     -6/22 線上宣傳開跑
     -9/3 完成第二次成效結案

3.月月文化心體驗
     -01/15 音樂饗宴—綠動竹語
     -01/22 木趣DIY—森林彈線松鼠
     -01/31 軟文—原來這些可以當樂器！
     -02/13 音樂饗宴—綠動竹語
     -02/25 軟文—這些藝術你想像不到他怎麼來！
     -02/26 森呼吸DIY-君子蘭紙藝
     -03/12 音樂饗宴—綠動竹語
     -03/19 森呼吸DIY-君子蘭紙藝

4.販促:
      ◆ 馬上RICH 吉運來
       -03/18 結案

      ◆ 共購買好 島嶼創生 (僅投EC)
       -02/25 宣傳提案
       -02/25 宣傳開跑(投廣)
       -04/15 結案","1.促購活動 : 
   ◆6/18 澎湖花火節(含七龍珠快閃店)-Chloe&Elle
     -3/20 宣傳規劃&目標final
     -3/25 開發澎湖旅遊受眾名單
     -4/20 線上宣傳開跑
     -9/8 完成結案報告

2.社群自發性增粉
   ◆曬機票活動-Jimmy
    -3/18 活動規劃定案
    - 4/1  活動上線

4.販促:
      ◆ CHIC  LADY MAMA
       -03/05 宣傳提案
       -03/09 提案會
       -03/26 宣傳開跑(投廣) 
       -04/01 檔期開跑
       -05/25 結案

      ◆SummerREEL
       -03/27 宣傳提案
       -04/02前 提案會
       -05/12 檔期/宣傳開跑(投廣) 
       -07/14 結案
",MOMO team,
